label,yield_strength_MPa,ultimate_tensile_strength_MPa,uniform_strain,fracture_strain,youngs_modulus_MPa
Random_0000,655.7458038536931,894.8219001251852,0.0874065131497936,0.18681777254634474,210000.0
Random_0001,555.9163014127338,819.4310174234304,0.07296802142109705,0.1427239202752289,210000.0
Random_0002,768.5637809077298,1087.9213713463857,0.08811744308538787,0.18155921747160364,210000.0
Random_0003,748.7439236391849,1008.5265104368597,0.05615924170610999,0.10715866199682061,210000.0
Random_0004,776.9868455008218,1046.0520355237306,0.05598354248481046,0.10742085787376493,210000.0
Random_0005,525.291552106926,738.3741372240373,0.07164880215886855,0.14365043614158132,210000.0
Random_0006,493.2857526642715,689.6252331789394,0.06709154383418557,0.1327882804624592,210000.0
Random_0007,817.3411706694002,1117.8681603602818,0.050199393046978374,0.08813401575496083,210000.0
Random_0008,570.5645736975313,842.5650186315296,0.08196125381328946,0.16446507114503905,210000.0
Random_0009,755.9580151876416,1071.4882658299884,0.09060064826619853,0.1863104572670303,210000.0
Random_0010,444.42547269343856,681.8352290874382,0.08895931459301099,0.18052223087406455,210000.0
Random_0011,461.3364694341995,686.3129635671463,0.10929985586120824,0.23700820200026837,210000.0
Random_0012,621.4207032934619,882.3790447382843,0.09895453735779745,0.21058836931031374,210000.0
Random_0013,365.62267141293034,580.4379760057368,0.07980426912365418,0.16085556496816983,210000.0
Random_0014,755.4013306673685,1051.71669285455,0.0804740486348456,0.16228090765770808,210000.0
Random_0015,672.3757655489638,956.0973126831826,0.08091039139705458,0.16310136706181225,210000.0
Random_0016,585.6828513170999,798.6050014056829,0.06765098445849896,0.13557518239523939,210000.0
Random_0017,776.7889496856128,1065.8518407900144,0.07354684400213253,0.14867692025781698,210000.0
Random_0018,600.2368423954233,863.6479289390286,0.09888030722963978,0.2079629534963051,210000.0
Random_0019,695.5055066484578,987.0656739013451,0.0889904598922895,0.18403253223359853,210000.0
Random_0020,367.5183682058365,616.388849629805,0.10734462726101149,0.2247249521186518,210000.0
Random_0021,622.9947112521103,898.2008829402238,0.06994048639667917,0.1354772024650003,210000.0
Random_0022,784.9228628696656,1059.9061365060036,0.051016710833834175,0.09285406417188005,210000.0
Random_0023,661.0765870330187,912.6842923656579,0.088937254502024,0.18775589972783815,210000.0
Random_0024,495.4817569539019,766.1158808768715,0.11302492520098364,0.24126636923405412,210000.0
Random_0025,679.8480499406683,939.4781525067107,0.06777402479880622,0.13541057067679677,210000.0
Random_0026,630.1492919269912,892.6123266169222,0.06781048451019352,0.13248771782338573,210000.0
Random_0027,697.2892937259447,942.5544204051531,0.0637095611357301,0.12753845677727854,210000.0
Random_0028,521.0324097738993,741.7702997313093,0.08428635873794663,0.17538249527390307,210000.0
Random_0029,701.621734697907,975.1083663691788,0.07126913708730609,0.1424439824661041,210000.0
Random_0030,803.5764860887656,1101.6643878996706,0.0630184062708906,0.1211832549564687,210000.0
Random_0031,477.56195241563233,683.3438608318471,0.07519717925210083,0.15239613647076167,210000.0
Random_0032,547.8000888112737,764.8202880117994,0.06942421049397327,0.13788120944380317,210000.0
Random_0033,558.1657282338497,773.2962576468636,0.04919188602421651,0.08755942071979576,210000.0
Random_0034,409.1119212355531,680.3025341753969,0.11911590458520038,0.2531318789573196,210000.0
Random_0035,757.4404376522576,1013.7543645389204,0.05944922677555674,0.11908905834940174,210000.0
Random_0036,559.3268697548501,820.277927805195,0.06932792070711374,0.13311807441790263,210000.0
Random_0037,371.88934443539097,586.1267443095735,0.10408815095730693,0.22162944473259744,210000.0
Random_0038,708.6810246786974,960.1214658139892,0.05514903391722224,0.10224980753367499,210000.0
Random_0039,659.0058521187116,890.1133405360879,0.04306021469528741,0.07247986706493063,210000.0
Random_0040,496.39159623338736,767.3048507302299,0.10647698022093705,0.22442829985760535,210000.0
Random_0041,481.5609009314897,738.0643103304011,0.09817986337042495,0.20192108625798177,210000.0
Random_0042,527.078656725445,763.5495799469305,0.09037506664209245,0.18696533741715748,210000.0
Random_0043,648.2411016147327,896.678845816053,0.0632711671816164,0.12281010514542073,210000.0
Random_0044,751.2643841684899,1049.3077410129827,0.06560140156913605,0.1233534325183187,210000.0
Random_0045,646.8540701073227,888.9097104218419,0.07585613033321995,0.1564763268439417,210000.0
Random_0046,454.6062997582309,708.9952375678781,0.10142749871912883,0.21197805466978076,210000.0
Random_0047,793.2354416418319,1081.3612105762904,0.06521523955427776,0.12661942184332298,210000.0
Random_0048,755.0276522779828,1069.8717967021691,0.09044457004232036,0.1875942927414005,210000.0
Random_0049,386.5950064940858,582.4726001507819,0.09555070307351936,0.20341456769075342,210000.0
Random_0050,713.6365109025568,973.0994966633974,0.07485807027650343,0.15350205641059206,210000.0
Random_0051,555.5740583783817,775.4278061212949,0.07488966027481334,0.15042918877001368,210000.0
Random_0052,777.8574939437365,1065.5977443327279,0.0774183853035897,0.15976063135827553,210000.0
